model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5244539.016404061,374.16056181089334,5717851.074584351,407.92801116090953
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5313216.956090784,379.060244398214,5606497.129072271,399.98369905219215
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5310151.835972315,378.84156987563784,5672203.920083571,404.6714113111117
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5217280.221438238,372.2158406434469,5753555.966364028,410.4753012708496
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4967686.964571317,354.4091367708213,6412343.044303221,457.47507425842736
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy', 'category_id']",5159680.557891138,368.10651427453394,5875098.015889462,419.1464621473044
all features,5,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy']",5119848.531315223,365.26478244737154,5854409.284828273,417.67046831585486
all features,5,10,0.25,0.01,5,['title_sentiment'],5175770.260926387,369.254400162733,5809115.636017277,414.4390885830357
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5219866.29544266,372.4003386325652,5551308.091504989,396.04635370355646
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5459112.489145028,389.4688531324674,4825401.333332028,344.25806885892456
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5325655.02694228,379.947612299012,5212155.2720990395,371.8502119546319
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5385088.98640351,384.18780263663814,5076140.930037478,362.1465559267305
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5484751.891997556,391.2980421890826,4855509.859875886,346.4060981083422
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5298974.147718604,378.044121309868,5387963.917515601,384.3929085261554
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5262271.7075947765,375.4256632197273,5468065.748196197,390.1076044938636
all features,5,10,0.25,0.01,10,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5403948.82222189,385.5333177988658,5027125.634599081,358.64966317387
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5229741.284634126,373.1048488845051,5665025.0214491,404.15924794692353
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5413645.20651672,386.22508586159546,5313193.572694844,379.05857615920684
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5500616.309816639,392.42985557924413,5028152.304668245,358.7229087820486
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5487830.840654744,391.5177032795534,5056541.639310935,360.7482859155053
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5595355.793289543,399.1888439767031,4774364.928284643,340.616984308765
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5303688.833758449,378.38048062989844,5644543.740778454,402.69805422553713
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5242685.987471764,374.02836137455546,5792928.689221228,413.28426504406127
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy', 'category_id']",5391417.532682351,384.63929940760903,5358044.906238144,382.2583998432406
all features,5,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy']",5317834.576826718,379.38967879909893,5485320.625403551,391.3386172730017
all features,5,10,0.25,0.01,10,['title_sentiment'],5201735.640955036,371.1068453726485,5730642.174686136,408.8405651881164
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5239169.731134909,373.7775014910931,5405160.271345991,385.6197460785413
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5053653.497846715,360.54223756131023,6011065.627399174,428.8467842826598
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5376241.428530501,383.5565923026002,4988364.117905934,355.8843046138161
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5286418.107618423,377.14833714212534,5383262.556904674,384.05749988071335
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5408677.312834114,385.87066197696294,5131081.483047797,366.0661736693471
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5685187.049277249,405.597665248393,4095863.406565808,292.2107259585447
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5271307.245496464,376.0702845919746,5363862.915498677,382.67347342868504
all features,5,10,0.25,0.01,20,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5160498.915881132,368.1648982972938,5769736.679397021,411.6296800751619
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5129737.932033576,365.97032085926594,5807404.321994109,414.31699849764584
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5420531.3062503105,386.71636010647137,5263423.056319225,375.5078037632969
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5456216.961281305,389.26227781119684,5060923.491558247,361.06089991141585
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5285864.9830229385,377.10887563583265,5797458.072201034,413.60740430855725
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5700085.781565385,406.66058384348077,4399505.219088381,313.87340990605037
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5274902.559248497,376.326784659786,5749310.280689873,410.17240179157307
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5407852.070508263,385.8117868057983,5266221.109326049,375.70742494672896
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy', 'category_id']",5545209.450075,395.6112590085622,4839739.6424754355,345.28100524813533
all features,5,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy']",5411660.212454469,386.08347065171716,5243145.9158479255,374.0611739933726
all features,5,10,0.25,0.01,20,['image_emotions_happy'],5484979.564040722,391.31428497025234,5262854.925057497,375.46727163808913
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4955430.416074922,353.53471919914733,6203082.874684841,442.5458493286184
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5225016.988061576,372.76780392131235,5533304.38877756,394.7619175489009
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5310065.024239042,378.83537647583825,5153676.947216455,367.6781993481111
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5395893.057006019,384.9585962400102,5116802.5777612915,365.04747532287035
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5332724.038564882,380.4519360063746,5327014.7804783825,380.0446210438037
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5452946.774962286,389.0289732735581,4948643.194166123,353.05049918389176
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5209030.574368987,371.62728699316074,5521582.842241194,393.9256685623606
all features,5,10,0.25,0.01,30,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5315608.171866007,379.23084063843083,5380939.7986585675,383.8917875983572
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5444923.576137056,388.45657509507583,5055156.752515872,360.6494840914242
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5538868.27278128,395.1588611045063,4823280.713049741,344.10677768276463
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5500723.1137956,392.43747528359694,4965785.582328239,354.2734866696281
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5514519.3828351665,393.4217409661655,5010458.867617572,357.4606078769474
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5558094.385981135,396.5305075530878,4904359.012190321,349.8911377308498
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5541314.727107994,395.33339822253805,4906720.186961263,350.0595907590504
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5231951.376981854,373.2625232562455,5747217.938998056,410.0231280917375
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy', 'category_id']",5422650.03248996,386.86751615615873,5254015.534749716,374.83664400174575
all features,5,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy']",5463189.963821801,389.75975195332836,4965087.061328747,354.22365216390904
all features,5,10,0.25,0.01,30,['image_emotions_happy'],5519870.159564572,393.80348083328005,4986759.004647379,355.769791197725
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5384980.136311665,384.1800369566822,4973299.354732082,354.80954089577597
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5412695.447806039,386.1573273318826,4948047.836123291,353.0080246214779
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5165120.889141757,368.4946432198621,5742996.601359363,409.7219656716379
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5520343.850750511,393.8372753306994,4667677.636652186,333.00560476703106
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5399484.317019354,385.214807102394,5140468.471252977,366.7358685213782
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5232207.478950286,373.280794310401,5644505.016970736,402.69529155724433
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5281218.478939092,376.77738061348066,5427096.322012446,387.1847272934014
all features,5,10,0.25,0.01,50,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5322550.800804665,379.7261478400758,5270488.440017369,376.01186864404974
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5313205.341147084,379.0594157545818,5486251.313828762,391.4050152734663
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5195673.928639276,370.6743853073297,5873131.937141906,419.0061964106116
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5598973.454457767,399.44693837373404,4668976.587270965,333.0982756560772
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5095835.622013898,363.5516321386799,6188617.204852154,441.51382665996437
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5333499.486389114,380.5072586939668,5561249.752336861,396.7556205028979
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5403701.151104322,385.5156482259627,5373578.0600510035,383.3665799023718
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5367523.644774066,382.93464042887956,5437583.140809589,387.9328872366252
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy', 'category_id']",5474590.848200594,390.5731239753435,5115934.352293141,364.9855336101811
all features,5,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy']",5549604.41793772,395.92480871035923,4793783.270347608,342.00234491967655
all features,5,10,0.25,0.01,50,['title_sentiment'],5351902.711844843,381.82019795404483,5308192.793190364,378.7018061050541
all features,5,10,0.25,0.01,100,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5142972.408068002,366.9145066061591,5717467.277915005,407.90062999795606
all features,5,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5205898.255789993,371.40381833831395,5563379.237979091,396.907544159443
all features,5,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5393300.819536476,384.7736585314875,5045954.664505307,359.99298055334447
