model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5415018.650423001,386.32307131693904,5243290.561981397,374.07149346633184
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5450285.391162253,388.83910246609526,5029369.332041561,358.80973503013536
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5420321.344556481,386.701380832778,5253155.0872728815,374.77525719342304
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5425884.408423885,387.0982658774897,5141271.388116819,366.7931509295981
all features,3,10,0.25,0.01,10,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5230538.868930107,373.16175085193106,5622249.819477217,401.10754148591457
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5271890.208863223,376.1118748823966,5697410.066794334,406.4696906231518
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5373945.628509924,383.3928032979197,5459856.247578576,389.5219150073963
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5230100.156323986,373.1304518274283,5887261.234711826,420.0142213104587
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5481088.748603465,391.03670295868693,5073102.980321111,361.9298198191196
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5397994.068652207,385.108488479433,5443596.8888199255,388.36192538985443
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5393117.106700446,384.7605519271271,5276353.615761243,376.4303072226519
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5350546.6214778945,381.72345055032133,5560736.033439645,396.71897031293963
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5114015.321058853,364.8486243789773,6190808.417890938,441.6701541272736
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy', 'category_id']",5383722.7647907315,384.0903324405739,5368309.784926671,382.99072593806164
all features,3,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy']",5003969.844589973,356.9976622311974,6168860.709517181,440.1043412179023
all features,3,10,0.25,0.01,10,['title_sentiment'],5194861.834548188,370.61644816921057,5599016.994895798,399.4500446743458
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5429431.769318112,387.3513448499177,5162025.655022872,368.27382027751463
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5292889.182813289,377.6100023376474,5532740.452783501,394.7216847262062
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5183812.667842558,369.82816870190373,5897216.638003839,420.72446853660057
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5555343.107433054,396.3342233946463,4778252.05783077,340.8943033582107
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5301455.749531138,378.2211659510585,5592729.442425626,399.0014725200923
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5363357.752504768,382.63743364158154,5422207.076062189,386.83591436516156
all features,3,10,0.25,0.01,20,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5209352.856174772,371.6502795080675,5744452.15109355,409.82580879389974
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5153883.361893726,367.6929255673978,6013809.5195674915,429.04254147543406
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5518934.1371762045,393.73670229247716,5015157.68119227,357.795834809468
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5476751.986084321,390.72730579422154,5148685.071255143,367.32206449844495
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5074734.282407074,362.04620162180197,6217247.152814492,443.5563698426347
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5440268.524269374,388.12447024913564,5331691.415494905,380.37826569392325
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5459075.607861871,389.46622191519873,5244954.271213301,374.19018728841087
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5478864.063436499,390.877987493072,5041616.811891865,359.6835056184033
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5399503.107250368,385.21614765174843,5346560.905596328,381.4390980669475
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy', 'category_id']",5495038.209642673,392.03189780099126,5043237.424343405,359.7991247916899
all features,3,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy']",5396596.669598292,385.00879399466476,5322531.485773444,379.7247698499587
all features,3,10,0.25,0.01,20,['title_sentiment'],5191702.4652793305,370.39104964001547,5723092.40590396,408.3019428763659
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5169007.672449091,368.7719375676324,5867699.149329319,418.61860563594126
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5370475.699757145,383.14524855811845,5233234.0927237,373.35403590227816
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5110367.764346623,364.5883971474864,5978756.67016763,426.5417699522358
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5403649.62339498,385.51197209034507,5244053.010837658,374.1258887700027
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5457529.440817343,389.3559138922773,5110573.806977491,364.6030968239082
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5509709.581516679,393.0785958474249,4952071.670847465,353.29509661318616
all features,3,10,0.25,0.01,30,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5505171.786169565,392.7548564203468,4714554.068893233,336.3499048414782
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5268511.659379381,375.87083940358207,5745163.350941493,409.876547845289
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5408703.509124232,385.8725308959656,5307619.350184334,378.6608950246653
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5303390.519643045,378.3591980392519,5581526.545097325,398.202225466127
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5123191.419606175,365.50327375368107,6122495.79085757,436.7965339998161
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5456603.645010752,389.28986494535684,5236661.5575174475,373.5985611405888
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5450689.49699285,388.86793254327347,5095510.037569898,363.52840400402346
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5232346.755086452,373.2907306722417,5905664.240478144,421.32714489725964
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5445958.239333579,388.5303909560477,5241335.383922825,373.9320054162768
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy', 'category_id']",5407098.058313894,385.75799339795543,5303108.009384094,378.3390429413728
all features,3,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy']",5018733.197414523,358.05092246432145,6414186.465352748,457.60658924065694
all features,3,10,0.25,0.01,30,['title_sentiment'],5154430.51817723,367.7319612770749,5825211.127820836,415.5873874586863
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5469801.308448343,390.2314243752619,4943902.669755822,352.7122964798812
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5315946.948580489,379.2550099477681,5464386.695971263,389.84513028152446
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5262296.039632125,375.42739913755264,5754209.059369174,410.52189481223735
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5236172.320731377,373.56365757515397,5721482.918200722,408.187117374756
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5134869.964321392,366.33645486609373,6065721.881770855,432.7461193392248
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5353180.629036501,381.911368257647,5389529.643005865,384.50461190508844
all features,3,10,0.25,0.01,50,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5275329.489255361,376.3572430796247,5543406.098862245,395.482602724226
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5486985.369684662,391.45738493848074,4993192.733546958,356.22879200066996
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5313930.241415528,379.111132233542,5443937.940114713,388.3862569743207
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5394271.324185883,384.8428971363918,5421389.6071499195,386.7775937717746
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5372861.57678271,383.31546391651415,5371324.198193785,383.2057828874
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5576333.259838495,397.8317214954234,4875502.5790681895,347.8324364426976
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5483900.70238329,391.237315863416,5178832.818376658,369.47289185715783
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5336822.264259822,380.74431526480896,5605830.66578262,399.936151636089
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5521620.157451323,393.9283307372328,4983083.955198092,355.5076025549621
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy', 'category_id']",5562801.101398604,396.8662982258954,4842636.732139201,345.48769199273204
all features,3,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy']",5533780.787340106,394.7959051983875,4871321.804221727,347.5341678893578
all features,3,10,0.25,0.01,50,['title_sentiment'],5337740.812995677,380.8098471847705,5366697.901084654,382.87572948899026
all features,3,10,0.25,0.01,100,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5373573.857919843,383.36628011019735,5389581.376906711,384.5083027510036
all features,3,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5290540.161202533,377.44241635099786,5605029.754959958,399.8790123446411
all features,3,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5517741.658709874,393.6516274343221,4864839.156523983,347.0716770780541
