model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5466506.7376768915,389.9963801803543,4738870.396859117,338.084701914097
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5335025.591983586,380.6161354750955,5229015.479018487,373.0530678154609
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5100316.977961807,363.8713450159985,5953278.395827474,424.7240762690986
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5172470.712882331,369.01900087482136,5628971.530383255,401.58708775701047
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5547596.683908306,395.78157116554104,4500613.106961355,321.0867386679752
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5210221.736345267,371.71226792911307,5702079.352561175,406.8028109565714
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5424828.25004445,387.02291648808205,5196597.549904913,370.7402791162175
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5451077.37228648,388.89560468706406,5146084.604910303,367.13653971819025
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5460171.196285776,389.544384357869,5238486.424375044,373.72875241317405
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5405251.5668869885,385.62625936613506,5363059.6753412895,382.61616795576987
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5617860.012279351,400.79435996085436,4572758.05308546,326.23376750867607
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5356269.20899513,382.1317164729818,5384012.140939875,384.11097737089085
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy', 'category_id']",5596629.159103835,399.2796895718976,4580083.530782674,326.7563882465807
all features,9,10,0.25,0.01,10,"['title_sentiment', 'image_emotions_happy']",5419954.331265751,386.6751970445324,5231996.750378053,373.26576032538725
all features,9,10,0.25,0.01,10,['image_emotions_happy'],5358619.067348418,382.29936215526044,5444864.46046263,388.452357612112
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4963940.485757797,354.14185215089674,5923757.117522421,422.6179430052512
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5293644.572736798,377.6638940366666,5120637.341067698,365.3210584135193
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5414108.85205931,386.25816367380247,4749837.3818112295,338.86711829773327
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5166991.320346409,368.62808518457484,5612298.623722245,400.3975944376183
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5594574.174070669,399.1330810039916,4427669.213868732,315.88271064285385
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5137296.787521066,366.5095914428197,5850157.144987169,417.36710837766594
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5280938.2450699415,376.757387919825,5248407.743704635,374.4365679909882
all features,9,10,0.25,0.01,20,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5379865.279588414,383.8151283042405,5158577.31490337,368.0278057331682
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5391177.982845565,384.62220923033453,5236794.592108364,373.60805221256334
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5467562.724877583,390.071717357376,5136720.654079498,366.46848841898844
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5468540.198908113,390.14145317806003,5113272.67620864,364.7956419503002
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5217600.034094379,372.23865700208614,5902808.512528824,421.123409016841
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5538060.495143763,395.1012319146526,4846034.368775533,345.7300892041367
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5266822.761130981,375.75034852431014,5636134.32199869,402.09810199993683
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5417608.301807518,386.50782452668636,5296529.234470311,377.8696941368221
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy', 'category_id']",5486988.7476867,391.4576259349032,5036506.090949936,359.3188920245469
all features,9,10,0.25,0.01,20,"['title_sentiment', 'image_emotions_happy']",5382086.951788889,383.9736288161233,5356560.2640018705,382.1524811778489
all features,9,10,0.25,0.01,20,['image_emotions_happy'],5430297.063208838,387.4130774154059,5439401.994403976,388.0626495056443
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5198891.950277038,370.90396826593457,5203686.754507476,371.2460434490961
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5186305.466520164,370.00601215978963,5382153.154463771,383.97835190616985
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5133175.694554538,366.2155807671801,5562525.572489702,396.8466411976938
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5397758.488364281,385.09168150123975,5007494.023661505,357.2490873454357
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5634532.470112398,401.98382125956323,4301200.404471944,306.8600604866726
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5509975.37277824,393.0975581637388,4698869.768731108,335.23094156521773
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5138064.435688027,366.56435768033356,5770415.764400892,411.6781279608142
all features,9,10,0.25,0.01,30,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5351157.262039502,381.7670154117669,5079589.109289388,362.39255899431834
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5344534.246525497,381.2945103550114,5389037.837880977,384.469525106944
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5217687.341686635,372.2448857778978,5823756.435217498,415.483605486615
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5389428.848405008,384.4974209271272,5255203.664157237,374.92140858548356
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5475487.185329424,390.63707125510365,5160529.6136741815,368.1670883665178
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5331058.710859729,380.3331267177392,5582073.866646592,398.2412729663409
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5432377.76671496,387.5615208134582,5189477.386638666,370.2323061028503
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5284122.820035373,376.9845846962182,5691122.763190864,406.0211362237676
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy', 'category_id']",5427870.965441125,387.2399925930914,5265897.361660074,375.6843278531223
all features,9,10,0.25,0.01,30,"['title_sentiment', 'image_emotions_happy']",5451041.047543992,388.8930131750143,5113640.246089505,364.8218654472937
all features,9,10,0.25,0.01,30,['image_emotions_happy'],5290006.607449264,377.4043510851174,5836712.869362286,416.4079549220023
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5322273.6293262,379.7063736262171,4820410.961841612,343.90204134255777
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5057996.537218504,360.8520825345734,5820481.391368797,415.2499543987782
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5180600.655675268,369.59901447628016,5457736.928191167,389.37071664083453
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5126192.891951064,365.7174074602491,5812637.668633078,414.69036056292236
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5179852.821830068,369.54566184971264,5781080.837313311,412.4390050674928
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5275873.704554874,376.3960689710091,5488831.688182981,391.5891066330762
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5342817.0394893065,381.17199984505106,5003162.371610524,356.94005477653025
all features,9,10,0.25,0.01,50,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5189350.49206248,370.22325307726163,5620886.253653597,401.01026076151993
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5418446.21352448,386.5676035688073,5124861.528504108,365.62242414641946
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5396232.75497216,384.9828312741017,5264098.1943497425,375.55597006046975
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5542657.748918942,395.4292132777291,4803779.405800843,342.7154980958511
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5502777.709400209,392.58405606854484,5122866.401038442,365.480085990272
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5382178.79309523,383.9801810401931,5433590.378767548,387.64803205981093
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5501691.191661098,392.50654075472767,5016067.886122939,357.86077145826727
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5561003.574600092,396.73805747209457,4798671.456617657,342.3510822472695
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy', 'category_id']",5520310.22103526,393.834876089677,4956443.481135047,353.60699418668423
all features,9,10,0.25,0.01,50,"['title_sentiment', 'image_emotions_happy']",5384728.578114171,384.1620900682696,5269607.113178035,375.94899224169814
all features,9,10,0.25,0.01,50,['image_emotions_happy'],5455741.985497331,389.22839166684315,5169052.781507701,368.775155778167
all features,9,10,0.25,0.01,100,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4934449.117661583,352.03785276774084,6020682.108191286,429.5328517987115
all features,9,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5515435.692747181,393.48711316196767,4370868.110960671,311.83035589650086
all features,9,10,0.25,0.01,100,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5300662.031989654,378.164539849067,5087882.024583699,362.98419952475666
